disasterType,include
 Complex Disasters            ,
 Drought                      ,
 Earthquake (seismic activity),1
 Epidemic                     ,1
 Extreme temperature          ,
 Flood                        ,1
 Industrial Accident          ,
 Insect Infestation  ,
 Insect infestation           ,
 Mass movement dry            ,1
 Mass Movement Dry            ,1
 Mass Movement Wet            ,1
 Mass movement wet            ,1
 Miscellaneous accident       ,
 Storm                        ,1
 Transport accident           ,
 Transport Accident           ,
 Volcano                      ,1
 Wildfire                     ,1
