gglCountryAscii,gglAddressAscii,include,FixedInventory
Australia,"Brisbane, Australia",1,
Australia,"Sydney, Australia",1,
New Zealand,"Auckland, New Zealand",1,
New Caledonia,"Noumea, New Caledonia",1,
Vanuatu,"Port Vila, Vanuatu",1,
Fiji,"Suva, Fiji",1,
Solomon Islands,"Honiara, Solomon Islands",1,
Tonga,"Nukualofa, Tonga",1,
Samoa,"Apia, Samoa",1,
Tuvalu,"Funafuti, Tuvalu",1,
Cook Islands,"Rarotonga, Cook Islands",1,
Papua New Guinea,"Lae, Papua New Guinea",1,
Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",1,
Kiribati,"Tarawa, Kiribati",1,
Palau,"Koror, Palau",1,
Marshall Islands,"Majuro, Marshall Islands",1,
Malaysia,"43000 Subang, Selangor, Malaysia",1,1
